<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26222RMFS8,D,03/01/20,000000,104.946,106.906,104.79,104.851,6.275
SU26222RMFS8,D,06/01/20,000000,104.989,104.989,104.49,104.612,12.596
SU26222RMFS8,D,08/01/20,000000,104.922,104.923,104.505,104.842,2.234
SU26222RMFS8,D,09/01/20,000000,104.929,104.985,104.5,104.905,498.794
SU26222RMFS8,D,10/01/20,000000,104.9,105.569,104.9,105.569,12.799
SU26222RMFS8,D,13/01/20,000000,106.705,106.705,105.18,105.696,11.972
SU26222RMFS8,D,14/01/20,000000,105.67,105.672,105.234,105.52,2.336.497
SU26222RMFS8,D,15/01/20,000000,105.648,105.648,105.35,105.35,857.387
SU26222RMFS8,D,16/01/20,000000,105.598,105.599,105.352,105.403,643.194
SU26222RMFS8,D,17/01/20,000000,105.849,105.849,105.238,105.401,11.490
SU26222RMFS8,D,20/01/20,000000,105.717,105.717,105.291,105.404,1.985
SU26222RMFS8,D,21/01/20,000000,105.283,105.697,105.283,105.649,11.129
SU26222RMFS8,D,22/01/20,000000,105.709,105.71,105.43,105.55,165.749
SU26222RMFS8,D,23/01/20,000000,105.499,105.65,105.451,105.557,346.343
SU26222RMFS8,D,24/01/20,000000,105.649,105.65,105.45,105.65,11.234
SU26222RMFS8,D,27/01/20,000000,105.749,106.247,105.15,105.289,3.456.089
SU26222RMFS8,D,28/01/20,000000,105.161,105.496,105.16,105.445,273.766
SU26222RMFS8,D,29/01/20,000000,104.046,105.553,104.046,105.453,14.290
SU26222RMFS8,D,30/01/20,000000,105.264,105.5,105.2,105.386,27.468
SU26222RMFS8,D,31/01/20,000000,105.519,105.521,105.151,105.297,545.866
SU26222RMFS8,D,03/02/20,000000,105.003,105.469,105.003,105.349,1.778.205
SU26222RMFS8,D,04/02/20,000000,105,105.519,105,105.45,772.963
SU26222RMFS8,D,05/02/20,000000,105.3,105.55,105.3,105.548,298.621
SU26222RMFS8,D,06/02/20,000000,105.848,105.848,105.109,105.407,74.155
SU26222RMFS8,D,07/02/20,000000,105.363,105.819,105.35,105.77,1.336.804
SU26222RMFS8,D,10/02/20,000000,105.777,105.83,105.494,105.7,4.377
SU26222RMFS8,D,11/02/20,000000,105.829,105.829,105.675,105.817,557.366
SU26222RMFS8,D,12/02/20,000000,105.8,106.009,105.673,105.862,829.136
SU26222RMFS8,D,13/02/20,000000,105.87,106.149,105.833,106.05,1.753.409
SU26222RMFS8,D,14/02/20,000000,105.882,106.25,105.882,106.249,44.555
SU26222RMFS8,D,17/02/20,000000,107.039,107.039,106.02,106.2,54.609
SU26222RMFS8,D,18/02/20,000000,106.309,106.309,105.817,106.201,370.540
SU26222RMFS8,D,19/02/20,000000,106.309,106.409,105.825,106.409,80.682
SU26222RMFS8,D,20/02/20,000000,106.409,106.599,106.269,106.595,116.175
SU26222RMFS8,D,21/02/20,000000,106.59,106.59,106.321,106.449,3.196.895
SU26222RMFS8,D,25/02/20,000000,106.323,106.496,106.03,106.218,4.184.971
SU26222RMFS8,D,26/02/20,000000,106.296,106.296,105.825,106.184,592.672
SU26222RMFS8,D,27/02/20,000000,105.9,105.94,104.241,105.151,1.609.471
SU26222RMFS8,D,28/02/20,000000,103.72,104.73,102.461,104.312,62.986
SU26222RMFS8,D,02/03/20,000000,104.911,105.5,103.552,104.421,586.219
SU26222RMFS8,D,03/03/20,000000,105.279,105.469,104.764,105.469,146.518
SU26222RMFS8,D,04/03/20,000000,104.805,106.449,103.561,106.15,1.352.369
SU26222RMFS8,D,05/03/20,000000,106.492,106.493,105.4,105.4,1.170.830
SU26222RMFS8,D,06/03/20,000000,106,106,104.1,104.89,366.297
SU26222RMFS8,D,10/03/20,000000,101.765,103.58,101.701,102.12,48.492
SU26222RMFS8,D,11/03/20,000000,99.762,102.648,99.762,101.488,1.273.250
SU26222RMFS8,D,12/03/20,000000,100.082,101.299,98,98.35,453.674
SU26222RMFS8,D,13/03/20,000000,99,100.15,98.499,99.5,562.693
SU26222RMFS8,D,16/03/20,000000,99.5,102.144,97.801,98.2,78.157
SU26222RMFS8,D,17/03/20,000000,98.407,99.262,98,98.51,166.528
SU26222RMFS8,D,18/03/20,000000,98.499,98.499,96.186,96.89,144.710
SU26222RMFS8,D,19/03/20,000000,95.87,97.997,95.87,97.749,428.348
SU26222RMFS8,D,20/03/20,000000,97.7,100.236,97.7,99.6,117.123
SU26222RMFS8,D,23/03/20,000000,100,100.12,98.11,100,137.878
SU26222RMFS8,D,24/03/20,000000,100.119,101.789,100,101.4,196.416
SU26222RMFS8,D,25/03/20,000000,102.477,102.478,100.512,100.961,174.571
SU26222RMFS8,D,26/03/20,000000,102.074,102.074,100.861,101.7,323.011
SU26222RMFS8,D,27/03/20,000000,101.997,102.19,101.393,101.997,25.143
SU26222RMFS8,D,30/03/20,000000,101.414,102.099,100.586,102.045,24.245
SU26222RMFS8,D,31/03/20,000000,101.134,102.647,101.134,102.252,283.048
SU26222RMFS8,D,01/04/20,000000,101.753,102.792,101.751,102.442,604.565
SU26222RMFS8,D,02/04/20,000000,102.925,102.925,101.8,102,158.232
SU26222RMFS8,D,03/04/20,000000,102.589,102.797,102.002,102.412,52.302
SU26222RMFS8,D,06/04/20,000000,102.8,102.9,102.735,102.9,332.016
SU26222RMFS8,D,07/04/20,000000,102.711,103.288,102.711,102.899,196.446
SU26222RMFS8,D,08/04/20,000000,103.089,103.089,102.751,102.871,600.126
SU26222RMFS8,D,09/04/20,000000,103.127,103.229,102.804,103.05,359.090
SU26222RMFS8,D,10/04/20,000000,103.001,103.257,102.832,103.148,65.002
SU26222RMFS8,D,13/04/20,000000,105.691,105.691,102.873,103.18,91.059
SU26222RMFS8,D,14/04/20,000000,103.289,103.301,103.007,103.21,210.651
SU26222RMFS8,D,15/04/20,000000,103.248,103.249,102.875,103.002,693.817
SU26222RMFS8,D,16/04/20,000000,103.2,103.549,102.882,103.548,1.522.444
SU26222RMFS8,D,17/04/20,000000,103.767,105.251,103.505,105.251,580.477
SU26222RMFS8,D,20/04/20,000000,104.856,105.654,104.856,105.499,577.892
SU26222RMFS8,D,21/04/20,000000,105.291,105.436,104.369,104.842,141.006
SU26222RMFS8,D,22/04/20,000000,104.842,105.425,104.543,105.301,5.727
SU26222RMFS8,D,23/04/20,000000,105.24,105.9,105.24,105.702,280.556
SU26222RMFS8,D,24/04/20,000000,105.66,106.29,105.645,106.28,7.692
SU26222RMFS8,D,27/04/20,000000,106.4,106.4,105.95,106.044,55.800
SU26222RMFS8,D,28/04/20,000000,105.801,106.099,105.801,106.045,306
SU26222RMFS8,D,29/04/20,000000,105.901,106.242,105.901,106.174,5.113
SU26222RMFS8,D,30/04/20,000000,105.8,106.284,105.8,106.099,264.080
SU26222RMFS8,D,04/05/20,000000,106.149,106.29,106.06,106.289,14.610
SU26222RMFS8,D,05/05/20,000000,106.2,106.2,106.1,106.2,1.920
SU26222RMFS8,D,06/05/20,000000,106.2,106.2,106.053,106.1,5.565
SU26222RMFS8,D,07/05/20,000000,106.38,106.38,106.052,106.217,540.811
SU26222RMFS8,D,08/05/20,000000,106.379,107.2,106.11,107.19,18.811
SU26222RMFS8,D,12/05/20,000000,107.349,107.548,107.3,107.42,64.614
SU26222RMFS8,D,13/05/20,000000,107.557,107.847,107.302,107.809,67.757
SU26222RMFS8,D,14/05/20,000000,107.809,107.94,107.494,107.94,18.577
SU26222RMFS8,D,15/05/20,000000,107.97,108.949,107.97,108.601,13.765
SU26222RMFS8,D,18/05/20,000000,109.4,109.9,108.65,108.782,2.843
SU26222RMFS8,D,19/05/20,000000,109.097,109.098,108.701,108.76,277.434
SU26222RMFS8,D,20/05/20,000000,108.768,109,108.761,108.999,524.467
SU26222RMFS8,D,21/05/20,000000,108.8,109,108.78,108.801,2.081
SU26222RMFS8,D,22/05/20,000000,108.701,108.999,108.634,108.701,28.672
SU26222RMFS8,D,25/05/20,000000,109.17,109.17,108.751,108.895,27.536
SU26222RMFS8,D,26/05/20,000000,108.99,109,108.637,108.74,13.148
SU26222RMFS8,D,27/05/20,000000,108.91,108.917,108.452,108.452,238.780
SU26222RMFS8,D,28/05/20,000000,108.76,108.77,108.3,108.414,713.163
SU26222RMFS8,D,29/05/20,000000,108.655,108.77,108.419,108.55,628.803
SU26222RMFS8,D,01/06/20,000000,108.799,108.884,108.552,108.602,351.477
SU26222RMFS8,D,02/06/20,000000,108.895,108.895,108.671,108.848,46.259
SU26222RMFS8,D,03/06/20,000000,108.916,108.919,108.602,108.602,239.307
SU26222RMFS8,D,04/06/20,000000,108.411,108.725,108.21,108.35,32.600
SU26222RMFS8,D,05/06/20,000000,108.254,108.653,108.001,108.249,28.548
SU26222RMFS8,D,08/06/20,000000,108.25,108.28,107.869,107.999,104.728
SU26222RMFS8,D,09/06/20,000000,108.149,108.248,107.804,108.248,315.412
SU26222RMFS8,D,10/06/20,000000,108.25,108.449,108.111,108.21,813.138
SU26222RMFS8,D,11/06/20,000000,108.35,108.498,108.203,108.209,125.519
SU26222RMFS8,D,15/06/20,000000,108.654,108.654,107.99,108.398,3.038
SU26222RMFS8,D,16/06/20,000000,107.501,108.692,107.501,108.686,20.002
SU26222RMFS8,D,17/06/20,000000,108.698,108.92,108.507,108.918,70.125
SU26222RMFS8,D,18/06/20,000000,108.968,108.974,108.689,108.949,15.044
SU26222RMFS8,D,19/06/20,000000,108.741,109.649,108.741,109.254,882.233
SU26222RMFS8,D,22/06/20,000000,109.489,109.489,108.8,108.8,188.629
SU26222RMFS8,D,23/06/20,000000,108.691,109.096,108.661,108.908,27.235
SU26222RMFS8,D,25/06/20,000000,108.661,109.1,108.661,108.799,99.951
SU26222RMFS8,D,26/06/20,000000,108.665,108.999,108.665,108.707,105.718
SU26222RMFS8,D,29/06/20,000000,109.019,109.019,108.371,108.422,111.372
SU26222RMFS8,D,30/06/20,000000,108.354,108.721,107.725,108.199,466.170
SU26222RMFS8,D,02/07/20,000000,108.119,108.596,108.119,108.349,55.623
SU26222RMFS8,D,03/07/20,000000,108.417,108.417,107.482,107.561,88.960
SU26222RMFS8,D,06/07/20,000000,107.301,108.198,107.301,107.883,105.584
SU26222RMFS8,D,07/07/20,000000,108.198,108.529,107.561,108.529,409.142
SU26222RMFS8,D,08/07/20,000000,108.598,108.75,108.16,108.697,334.388
SU26222RMFS8,D,09/07/20,000000,108.75,108.798,108.57,108.572,4.180
SU26222RMFS8,D,10/07/20,000000,108.8,108.8,108.376,108.734,2.946
SU26222RMFS8,D,13/07/20,000000,108.744,108.9,108.389,108.898,59.550
SU26222RMFS8,D,14/07/20,000000,108.801,108.838,108.521,108.798,121.655
SU26222RMFS8,D,15/07/20,000000,108.946,108.999,108.655,108.782,393.031
SU26222RMFS8,D,16/07/20,000000,109.018,109.018,108.581,108.85,258.747
SU26222RMFS8,D,17/07/20,000000,109.018,109.018,108.667,108.997,43.808
SU26222RMFS8,D,20/07/20,000000,109.007,109.09,108.744,108.87,1.461
SU26222RMFS8,D,21/07/20,000000,108.994,109.137,108.791,109.1,1.147
SU26222RMFS8,D,22/07/20,000000,108.932,109.098,108.932,109,3.870
SU26222RMFS8,D,23/07/20,000000,109.092,109.093,108.88,109.085,3.575
SU26222RMFS8,D,24/07/20,000000,109.094,109.095,108.644,108.969,6.296
SU26222RMFS8,D,27/07/20,000000,109.094,109.095,108.832,108.882,52.170
SU26222RMFS8,D,28/07/20,000000,108.608,109.092,108.608,108.976,10.029
SU26222RMFS8,D,29/07/20,000000,109,109,108.528,108.797,439
SU26222RMFS8,D,30/07/20,000000,108.85,108.85,108.174,108.5,11.775
SU26222RMFS8,D,31/07/20,000000,108.311,108.65,108.309,108.56,115.000
SU26222RMFS8,D,03/08/20,000000,108.31,108.699,108.31,108.699,7.721
SU26222RMFS8,D,04/08/20,000000,108.7,108.888,108.488,108.6,926
SU26222RMFS8,D,05/08/20,000000,108.749,108.799,108.516,108.546,20.422
SU26222RMFS8,D,06/08/20,000000,108.899,108.899,108.482,108.527,1.028
SU26222RMFS8,D,07/08/20,000000,108.719,108.719,108.251,108.41,94.090
SU26222RMFS8,D,10/08/20,000000,108.651,108.651,108.2,108.303,1.326
SU26222RMFS8,D,11/08/20,000000,108.571,108.58,108.141,108.58,9.809
SU26222RMFS8,D,12/08/20,000000,108.579,108.58,108.349,108.478,9.698
SU26222RMFS8,D,13/08/20,000000,108.529,108.529,108.101,108.101,17.298
SU26222RMFS8,D,14/08/20,000000,108.09,108.528,107.901,108,157.328
SU26222RMFS8,D,17/08/20,000000,108.098,108.098,107.051,107.4,508.832
SU26222RMFS8,D,18/08/20,000000,107.599,107.7,107.102,107.7,731.785
SU26222RMFS8,D,19/08/20,000000,107.504,108.099,107.504,107.805,385.525
SU26222RMFS8,D,20/08/20,000000,107.805,107.999,107.5,107.5,21.987
SU26222RMFS8,D,21/08/20,000000,107.937,107.937,107.25,107.25,33.719
SU26222RMFS8,D,24/08/20,000000,107.222,107.729,107.22,107.5,51.519
SU26222RMFS8,D,25/08/20,000000,107.201,108.087,107.201,107.55,25.519
SU26222RMFS8,D,26/08/20,000000,107.698,107.698,107.216,107.498,148.994
SU26222RMFS8,D,27/08/20,000000,107.317,107.8,107.317,107.72,112.742
SU26222RMFS8,D,28/08/20,000000,108.036,108.036,107.562,107.785,34.829
SU26222RMFS8,D,31/08/20,000000,107.785,107.998,107.551,107.551,10.094
SU26222RMFS8,D,01/09/20,000000,107.661,108.1,107.661,107.95,10.456
SU26222RMFS8,D,02/09/20,000000,108.099,108.1,107.322,107.5,3.192
SU26222RMFS8,D,03/09/20,000000,107.539,107.539,107.25,107.3,158.545
SU26222RMFS8,D,04/09/20,000000,107.201,107.497,107.2,107.406,20.716
SU26222RMFS8,D,07/09/20,000000,106.12,107.639,106.12,107.295,3.889
SU26222RMFS8,D,08/09/20,000000,107.3,107.484,107.101,107.3,6.520
SU26222RMFS8,D,09/09/20,000000,107.2,107.35,107.101,107.297,762
SU26222RMFS8,D,10/09/20,000000,107.11,107.63,107.11,107.539,7.523
SU26222RMFS8,D,11/09/20,000000,107.262,107.531,107.221,107.301,1.500
SU26222RMFS8,D,14/09/20,000000,107.494,107.494,107.202,107.326,203.176
SU26222RMFS8,D,15/09/20,000000,107.628,107.628,107.204,107.3,2.121
SU26222RMFS8,D,16/09/20,000000,107.624,107.624,107.281,107.375,10.149
SU26222RMFS8,D,17/09/20,000000,107.312,107.448,107.201,107.35,25.455
SU26222RMFS8,D,18/09/20,000000,107.251,107.5,107.2,107.221,45.840
SU26222RMFS8,D,21/09/20,000000,107.483,107.483,107.105,107.209,37.364
SU26222RMFS8,D,22/09/20,000000,107.3,107.3,107.06,107.15,358.473
SU26222RMFS8,D,23/09/20,000000,107.102,107.15,106.895,107,833.436
SU26222RMFS8,D,24/09/20,000000,107.098,107.098,106.857,106.997,57.835
SU26222RMFS8,D,25/09/20,000000,107.149,107.149,106.861,107.048,445.143
SU26222RMFS8,D,28/09/20,000000,106.5,107.192,106.5,106.9,707.565
SU26222RMFS8,D,29/09/20,000000,106.87,107.096,106.87,107.089,14.203
SU26222RMFS8,D,30/09/20,000000,106.906,107.166,106.906,107.14,179.966
SU26222RMFS8,D,01/10/20,000000,108.796,108.796,107.132,107.2,102.278
SU26222RMFS8,D,02/10/20,000000,107.419,107.419,107.161,107.201,8.004
SU26222RMFS8,D,05/10/20,000000,107.469,107.469,107.206,107.206,1.984
SU26222RMFS8,D,06/10/20,000000,107.111,107.399,107.111,107.37,4.307
SU26222RMFS8,D,07/10/20,000000,107.309,107.45,107.201,107.45,124.742
SU26222RMFS8,D,08/10/20,000000,107.6,107.6,107.271,107.6,11.303
SU26222RMFS8,D,09/10/20,000000,107.372,107.568,107.372,107.568,9.708
SU26222RMFS8,D,12/10/20,000000,107.704,107.704,107.395,107.502,91.846
SU26222RMFS8,D,13/10/20,000000,107.453,107.789,107.453,107.664,37.945
SU26222RMFS8,D,14/10/20,000000,107.455,107.787,107.454,107.55,51.289
SU26222RMFS8,D,15/10/20,000000,107.678,107.679,107.392,107.449,12.159
SU26222RMFS8,D,16/10/20,000000,107.474,107.483,107.247,107.47,58.324
SU26222RMFS8,D,19/10/20,000000,107.577,107.848,107.483,107.847,42.607
SU26222RMFS8,D,20/10/20,000000,107.55,107.63,107.25,107.31,22.126
SU26222RMFS8,D,21/10/20,000000,107.31,107.596,107.282,107.44,59.514
SU26222RMFS8,D,22/10/20,000000,107.234,107.416,107.234,107.404,11.612
SU26222RMFS8,D,23/10/20,000000,107.537,107.664,107.302,107.498,70.224
SU26222RMFS8,D,26/10/20,000000,107.498,107.64,107.355,107.355,75.235
SU26222RMFS8,D,27/10/20,000000,107.588,107.588,107.233,107.407,17.584
SU26222RMFS8,D,28/10/20,000000,107.538,107.538,107.08,107.19,45.224
SU26222RMFS8,D,29/10/20,000000,107.398,107.398,107.05,107.052,170.967
SU26222RMFS8,D,30/10/20,000000,107.298,107.298,107.003,107.076,62.855
SU26222RMFS8,D,02/11/20,000000,106.997,107.149,106.69,106.692,4.028
