<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26230RMFS1,D,03/01/20,000000,113.4,113.599,113.1,113.205,1.315
SU26230RMFS1,D,06/01/20,000000,113.599,113.599,113.081,113.286,3.075
SU26230RMFS1,D,08/01/20,000000,113.469,113.471,113.111,113.29,3.599
SU26230RMFS1,D,09/01/20,000000,113.062,113.849,112.89,113.839,89.003
SU26230RMFS1,D,10/01/20,000000,113.801,115.499,113.701,115.049,500.104
SU26230RMFS1,D,13/01/20,000000,115.648,116.55,115.648,115.7,317.526
SU26230RMFS1,D,14/01/20,000000,115.441,116.059,115.308,115.55,1.227.159
SU26230RMFS1,D,15/01/20,000000,115.988,115.988,114.7,115.198,1.774.394
SU26230RMFS1,D,16/01/20,000000,115.57,115.57,115.012,115.25,325.119
SU26230RMFS1,D,17/01/20,000000,115.999,115.999,115.377,115.598,185.302
SU26230RMFS1,D,20/01/20,000000,115.729,115.8,115.309,115.599,18.209
SU26230RMFS1,D,21/01/20,000000,115.829,115.837,115.22,115.45,38.948
SU26230RMFS1,D,22/01/20,000000,115.301,115.532,115.2,115.364,329.428
SU26230RMFS1,D,23/01/20,000000,115.796,115.796,115.368,115.499,50.572
SU26230RMFS1,D,24/01/20,000000,115.495,115.59,115.4,115.4,7.332
SU26230RMFS1,D,27/01/20,000000,115.302,115.302,114.341,114.349,325.195
SU26230RMFS1,D,28/01/20,000000,115.496,115.496,113.701,114.848,125.470
SU26230RMFS1,D,29/01/20,000000,114.85,114.997,114.6,114.8,349.746
SU26230RMFS1,D,30/01/20,000000,114.719,114.819,114.5,114.79,126.921
SU26230RMFS1,D,31/01/20,000000,114.769,114.998,114.3,114.4,516.917
SU26230RMFS1,D,03/02/20,000000,114.361,114.599,114.11,114.5,456.671
SU26230RMFS1,D,04/02/20,000000,114.72,114.818,114.4,114.8,426.275
SU26230RMFS1,D,05/02/20,000000,114.55,115.449,114.55,115.2,598.361
SU26230RMFS1,D,06/02/20,000000,115.448,115.5,114.96,115.147,256.941
SU26230RMFS1,D,07/02/20,000000,115.23,115.949,114.85,115.321,452.987
SU26230RMFS1,D,10/02/20,000000,115.749,115.834,115.5,115.66,4.963
SU26230RMFS1,D,11/02/20,000000,115.72,115.813,115.238,115.7,1.095.667
SU26230RMFS1,D,12/02/20,000000,115.789,116.099,115.699,116.099,9.229.083
SU26230RMFS1,D,13/02/20,000000,116.099,116.388,115.75,116.247,2.733.177
SU26230RMFS1,D,14/02/20,000000,116.4,116.889,116.24,116.55,259.561
SU26230RMFS1,D,17/02/20,000000,116.44,116.75,116.44,116.696,105.374
SU26230RMFS1,D,18/02/20,000000,117.6,117.6,116.302,116.8,309.157
SU26230RMFS1,D,19/02/20,000000,116.9,117.298,116.801,117.136,1.538.959
SU26230RMFS1,D,20/02/20,000000,117.29,117.998,117.002,117.797,1.747.247
SU26230RMFS1,D,21/02/20,000000,117.799,117.849,117.3,117.4,281.563
SU26230RMFS1,D,25/02/20,000000,116.903,117.379,116.051,116.11,450.162
SU26230RMFS1,D,26/02/20,000000,116.001,116.358,115.59,116.272,913.658
SU26230RMFS1,D,27/02/20,000000,115.899,115.9,114.47,114.5,566.164
SU26230RMFS1,D,28/02/20,000000,114.5,114.5,110,112.099,1.113.558
SU26230RMFS1,D,02/03/20,000000,112.092,113.799,111.751,112.42,377.039
SU26230RMFS1,D,03/03/20,000000,114.102,115.449,112.77,114.76,113.740
SU26230RMFS1,D,04/03/20,000000,115.9,116.998,114.857,116.6,3.125.734
SU26230RMFS1,D,05/03/20,000000,116.5,117.35,114.7,114.7,231.436
SU26230RMFS1,D,06/03/20,000000,114.262,116.798,110.56,111.5,1.817.430
SU26230RMFS1,D,10/03/20,000000,108.5,108.6,104.35,105.2,17.201.141
SU26230RMFS1,D,11/03/20,000000,108.983,108.983,102.531,103.299,684.743
SU26230RMFS1,D,12/03/20,000000,102.963,102.963,96.2,96.998,2.569.467
SU26230RMFS1,D,13/03/20,000000,98.928,99.75,97,98,2.064.936
SU26230RMFS1,D,16/03/20,000000,97.5,97.8,95.1,96.5,1.366.396
SU26230RMFS1,D,17/03/20,000000,97,98.635,95.298,96.48,1.935.759
SU26230RMFS1,D,18/03/20,000000,96.89,97.893,92.3,92.8,14.567.860
SU26230RMFS1,D,19/03/20,000000,92.901,95.533,91.616,95.4,3.929.147
SU26230RMFS1,D,20/03/20,000000,95.98,101.408,95.535,99.4,9.727.167
SU26230RMFS1,D,23/03/20,000000,99.15,101.19,97.87,100.8,4.782.416
SU26230RMFS1,D,24/03/20,000000,101.999,105.895,101,105,8.587.789
SU26230RMFS1,D,25/03/20,000000,105.884,106.509,103.101,104.8,7.467.505
SU26230RMFS1,D,26/03/20,000000,104.04,106.31,103.75,106,7.197.686
