date,ticker,price
2023-12-29,MAGN_RU0009084396,52.165
2023-12-28,MAGN_RU0009084396,52.255
2023-12-27,MAGN_RU0009084396,51.93
2023-12-26,MAGN_RU0009084396,52.605
2023-12-25,MAGN_RU0009084396,52.34
2023-12-22,MAGN_RU0009084396,52.645
2023-12-21,MAGN_RU0009084396,51.925
2023-12-20,MAGN_RU0009084396,51.645
2023-12-19,MAGN_RU0009084396,51.31
2023-12-18,MAGN_RU0009084396,50.845
2023-12-15,MAGN_RU0009084396,49.655
2023-12-14,MAGN_RU0009084396,48.795
2023-12-13,MAGN_RU0009084396,50.025
2023-12-12,MAGN_RU0009084396,49.655
2023-12-11,MAGN_RU0009084396,49.095
2023-12-08,MAGN_RU0009084396,50.01
2023-12-07,MAGN_RU0009084396,49.005
2023-12-06,MAGN_RU0009084396,49.9
2023-12-05,MAGN_RU0009084396,51.0
2023-12-04,MAGN_RU0009084396,50.15
2023-12-01,MAGN_RU0009084396,50.53
2023-11-30,MAGN_RU0009084396,50.71
2023-11-29,MAGN_RU0009084396,51.44
2023-11-28,MAGN_RU0009084396,51.14
2023-11-27,MAGN_RU0009084396,51.595
2023-11-24,MAGN_RU0009084396,51.635
2023-11-23,MAGN_RU0009084396,52.21
2023-11-22,MAGN_RU0009084396,52.43
2023-11-21,MAGN_RU0009084396,51.515
2023-11-20,MAGN_RU0009084396,51.44
2023-11-17,MAGN_RU0009084396,51.565
2023-11-16,MAGN_RU0009084396,51.4
2023-11-15,MAGN_RU0009084396,51.735
2023-11-14,MAGN_RU0009084396,51.775
2023-11-13,MAGN_RU0009084396,52.22
2023-11-10,MAGN_RU0009084396,51.97
2023-11-09,MAGN_RU0009084396,51.86
2023-11-08,MAGN_RU0009084396,52.17
2023-11-07,MAGN_RU0009084396,52.48
2023-11-06,MAGN_RU0009084396,52.32
2023-11-03,MAGN_RU0009084396,52.46
2023-11-02,MAGN_RU0009084396,52.34
2023-11-01,MAGN_RU0009084396,52.53
2023-10-31,MAGN_RU0009084396,51.86
2023-10-30,MAGN_RU0009084396,52.93
2023-10-27,MAGN_RU0009084396,53.15
2023-10-26,MAGN_RU0009084396,52.455
2023-10-25,MAGN_RU0009084396,53.385
2023-10-24,MAGN_RU0009084396,52.79
2023-10-23,MAGN_RU0009084396,52.93
2023-10-20,MAGN_RU0009084396,52.93
2023-10-19,MAGN_RU0009084396,53.27
2023-10-18,MAGN_RU0009084396,53.395
2023-10-17,MAGN_RU0009084396,53.515
2023-10-16,MAGN_RU0009084396,53.9
2023-10-13,MAGN_RU0009084396,52.695
2023-10-12,MAGN_RU0009084396,52.325
2023-10-11,MAGN_RU0009084396,51.42
2023-10-10,MAGN_RU0009084396,52.695
2023-10-09,MAGN_RU0009084396,52.35
2023-10-06,MAGN_RU0009084396,52.84
2023-10-05,MAGN_RU0009084396,51.995
2023-10-04,MAGN_RU0009084396,52.125
2023-10-03,MAGN_RU0009084396,51.6
2023-10-02,MAGN_RU0009084396,52.82
2023-09-29,MAGN_RU0009084396,52.46
2023-09-28,MAGN_RU0009084396,52.215
2023-09-27,MAGN_RU0009084396,52.095
2023-09-26,MAGN_RU0009084396,51.84
2023-09-25,MAGN_RU0009084396,50.645
2023-09-22,MAGN_RU0009084396,51.135
2023-09-21,MAGN_RU0009084396,49.47
2023-09-20,MAGN_RU0009084396,50.405
2023-09-19,MAGN_RU0009084396,50.58
2023-09-18,MAGN_RU0009084396,51.215
2023-09-15,MAGN_RU0009084396,52.165
2023-09-14,MAGN_RU0009084396,51.755
2023-09-13,MAGN_RU0009084396,52.0
2023-09-12,MAGN_RU0009084396,52.685
2023-09-11,MAGN_RU0009084396,51.67
2023-09-08,MAGN_RU0009084396,52.04
2023-09-07,MAGN_RU0009084396,52.88
2023-09-06,MAGN_RU0009084396,53.04
2023-09-05,MAGN_RU0009084396,54.485
2023-09-04,MAGN_RU0009084396,55.415
2023-09-01,MAGN_RU0009084396,55.3
2023-08-31,MAGN_RU0009084396,55.765
2023-08-30,MAGN_RU0009084396,54.5
2023-08-29,MAGN_RU0009084396,53.895
2023-08-28,MAGN_RU0009084396,54.915
2023-08-25,MAGN_RU0009084396,53.85
2023-08-24,MAGN_RU0009084396,53.42
2023-08-23,MAGN_RU0009084396,52.065
2023-08-22,MAGN_RU0009084396,53.335
2023-08-21,MAGN_RU0009084396,52.145
2023-08-18,MAGN_RU0009084396,51.68
2023-08-17,MAGN_RU0009084396,51.22
2023-08-16,MAGN_RU0009084396,50.085
2023-08-15,MAGN_RU0009084396,51.56
2023-08-14,MAGN_RU0009084396,51.49
2023-08-11,MAGN_RU0009084396,53.015
2023-08-10,MAGN_RU0009084396,52.93
2023-08-09,MAGN_RU0009084396,52.56
2023-08-08,MAGN_RU0009084396,52.555
2023-08-07,MAGN_RU0009084396,53.31
2023-08-04,MAGN_RU0009084396,53.415
2023-08-03,MAGN_RU0009084396,54.76
2023-08-02,MAGN_RU0009084396,53.205
2023-08-01,MAGN_RU0009084396,53.39
2023-07-31,MAGN_RU0009084396,53.5
