date,ticker,price
2020-01-10,EUR_RUB,68.0555
2020-01-10,GAZP,251.9
2020-01-10,GMKN,198.78
2020-01-10,LKOH,6490.0
2020-01-10,MAGN,43.345
2020-01-10,MGNT,3319.5
2020-01-10,MOEX,112.99
2020-01-10,ROSN,473.5
2020-01-10,RUAL,31.7
2020-01-10,SBER,258.19
2020-01-10,SU26218RMFS6,11976.6
2020-01-10,SU26221RMFS0,11345.0
2020-01-10,SU26222RMFS8,10556.9
2020-01-10,SU26224RMFS4,10619.9
2020-01-10,SU26230RMFS1,11504.900000000001
2020-01-10,USD_RUB,61.234
2020-01-10,VTBR,0.0476
2020-01-13,EUR_RUB,68.045
2020-01-13,GAZP,251.5
2020-01-13,GMKN,203.62
2020-01-13,LKOH,6530.0
2020-01-13,MAGN,44.61
2020-01-13,MGNT,3345.0
2020-01-13,MOEX,114.1
2020-01-13,ROSN,481.15
2020-01-13,RUAL,32.2
2020-01-13,SBER,262.4
2020-01-13,SU26218RMFS6,11999.9
2020-01-13,SU26221RMFS0,11379.1
2020-01-13,SU26222RMFS8,10569.6
2020-01-13,SU26224RMFS4,10620.300000000001
2020-01-13,SU26230RMFS1,11570.0
2020-01-13,USD_RUB,61.2632
2020-01-13,VTBR,0.04806
2020-01-14,EUR_RUB,67.8162
2020-01-14,GAZP,250.0
2020-01-14,GMKN,200.0
2020-01-14,LKOH,6520.5
2020-01-14,MAGN,44.28
2020-01-14,MGNT,3339.0
2020-01-14,MOEX,114.02
2020-01-14,ROSN,475.5
2020-01-14,RUAL,32.83
2020-01-14,SBER,259.05
2020-01-14,SU26218RMFS6,11980.0
2020-01-14,SU26221RMFS0,11359.699999999999
2020-01-14,SU26222RMFS8,10552.0
2020-01-14,SU26224RMFS4,10629.300000000001
2020-01-14,SU26230RMFS1,11555.0
2020-01-14,USD_RUB,60.9474
2020-01-14,VTBR,0.04726
2020-01-15,EUR_RUB,68.4213
2020-01-15,GAZP,251.3
2020-01-15,GMKN,203.96
2020-01-15,LKOH,6552.5
2020-01-15,MAGN,44.4
2020-01-15,MGNT,3440.0
2020-01-15,MOEX,115.88
2020-01-15,ROSN,474.5
2020-01-15,RUAL,32.8
2020-01-15,SBER,256.31
2020-01-15,SU26218RMFS6,11936.5
2020-01-15,SU26221RMFS0,11349.5
2020-01-15,SU26222RMFS8,10535.0
2020-01-15,SU26224RMFS4,10585.0
2020-01-15,SU26230RMFS1,11519.8
2020-01-15,USD_RUB,61.414
2020-01-15,VTBR,0.046805
2020-01-16,EUR_RUB,68.3747
2020-01-16,GAZP,254.26
2020-01-16,GMKN,209.0
2020-01-16,LKOH,6590.0
2020-01-16,MAGN,45.1
2020-01-16,MGNT,3625.0
2020-01-16,MOEX,114.5
2020-01-16,ROSN,480.95
2020-01-16,RUAL,33.575
2020-01-16,SBER,257.51
2020-01-16,SU26218RMFS6,11940.2
2020-01-16,SU26221RMFS0,11336.0
2020-01-16,SU26222RMFS8,10540.300000000001
2020-01-16,SU26224RMFS4,10610.5
2020-01-16,SU26230RMFS1,11525.0
2020-01-16,USD_RUB,61.4328
2020-01-16,VTBR,0.047825
2020-01-17,EUR_RUB,68.656
2020-01-17,GAZP,255.39
2020-01-17,GMKN,215.24
2020-01-17,LKOH,6685.0
2020-01-17,MAGN,47.09
2020-01-17,MGNT,3623.0
2020-01-17,MOEX,114.8
2020-01-17,ROSN,485.15
2020-01-17,RUAL,37.0
2020-01-17,SBER,262.5
2020-01-17,SU26218RMFS6,11988.7
2020-01-17,SU26221RMFS0,11367.6
2020-01-17,SU26222RMFS8,10540.1
2020-01-17,SU26224RMFS4,10626.0
2020-01-17,SU26230RMFS1,11559.8
2020-01-17,USD_RUB,61.5694
2020-01-17,VTBR,0.048035
2020-01-20,EUR_RUB,68.5358
2020-01-20,GAZP,253.5
2020-01-20,GMKN,218.5
2020-01-20,LKOH,6717.0
2020-01-20,MAGN,47.53
2020-01-20,MGNT,3855.0
2020-01-20,MOEX,116.0
2020-01-20,ROSN,484.85
2020-01-20,RUAL,39.22
2020-01-20,SBER,266.28
2020-01-20,SU26218RMFS6,11979.0
2020-01-20,SU26221RMFS0,11353.199999999999
2020-01-20,SU26222RMFS8,10540.4
2020-01-20,SU26224RMFS4,10630.0
2020-01-20,SU26230RMFS1,11559.9
2020-01-20,USD_RUB,61.5333
2020-01-20,VTBR,0.048015
2020-01-21,EUR_RUB,68.2082
2020-01-21,GAZP,252.99
2020-01-21,GMKN,214.5
2020-01-21,LKOH,6708.5
2020-01-21,MAGN,46.2
2020-01-21,MGNT,3840.0
2020-01-21,MOEX,114.62
2020-01-21,ROSN,486.15
2020-01-21,RUAL,37.85
2020-01-21,SBER,268.06
2020-01-21,SU26218RMFS6,11967.0
2020-01-21,SU26221RMFS0,11363.0
2020-01-21,SU26222RMFS8,10564.9
2020-01-21,SU26224RMFS4,10624.4
2020-01-21,SU26230RMFS1,11545.0
2020-01-21,USD_RUB,61.4654
2020-01-21,VTBR,0.04981
2020-01-22,EUR_RUB,68.6222
2020-01-22,GAZP,248.1
2020-01-22,GMKN,213.1
2020-01-22,LKOH,6655.5
2020-01-22,MAGN,44.715
2020-01-22,MGNT,3750.0
2020-01-22,MOEX,114.5
2020-01-22,ROSN,478.15
2020-01-22,RUAL,35.535
2020-01-22,SBER,266.54
2020-01-22,SU26218RMFS6,11952.800000000001
2020-01-22,SU26221RMFS0,11325.5
2020-01-22,SU26222RMFS8,10555.0
2020-01-22,SU26224RMFS4,10622.4
